blockfacename,paidparkingarea,avg_occupancy,peak_hour_occupancy,spaces,hours_over_target,hours_under_target,hours_on_target,mean_adjustment,max_adjustment,min_adjustment,peak_hour,primary_action,paidparkingsubarea,lat,lon,time_limit,n_meters
CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,Belltown,0.705,0.831,5.0,0,4,8,-0.208,0.0,-1.75,12,hold,North,47.61816151,-122.34762193,240.0,2
CEDAR ST BETWEEN ELLIOTT AVE AND WESTERN AVE,Belltown,0.429,0.542,13.0,0,12,0,-1.167,-0.75,-2.0,12,decrease,North,47.614823475,-122.35188204,240.0,2
CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.194,0.35,15.0,0,12,0,-1.958,-1.75,-2.0,19,decrease,North,47.615477205,-122.351035935,240.0,2
CLAY ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.426,0.615,17.0,0,12,0,-1.146,-0.25,-2.0,12,decrease,North,47.6166873,-122.351118855,240.0,2
CLAY ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.286,0.501,14.0,0,12,0,-1.667,-0.75,-2.0,13,decrease,North,47.61740397,-122.35035405,240.0,1
CLAY ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.343,0.447,14.0,0,12,0,-1.604,-1.25,-2.0,11,decrease,North,47.618028915,-122.34938722,240.0,2
CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,Belltown,0.372,0.454,26.0,0,12,0,-1.479,-1.0,-2.0,11,decrease,North,47.61537392,-122.35281704,240.0,2
CLAY ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.26,0.363,21.0,0,12,0,-1.854,-1.5,-2.0,13,decrease,North,47.616023425,-122.35199055,240.0,2
EAGLE ST BETWEEN 1ST AVE AND 2ND WR AVE,Belltown,0.451,0.64,12.0,0,12,0,-1.083,-0.25,-2.0,18,decrease,North,47.61803121,-122.353402035,240.0,2
EAGLE ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.352,0.508,13.0,0,12,0,-1.583,-0.75,-2.0,18,decrease,North,47.61736216,-122.354266145,240.0,2
ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST,Belltown,0.519,0.623,12.0,0,12,0,-0.75,-0.25,-2.0,11,decrease,North,47.613063625,-122.34995914,240.0,2
ELLIOTT AVE BETWEEN BAY ST AND W DENNY WAY,Belltown,0.011,0.065,4.0,0,12,0,-2.0,-2.0,-2.0,10,decrease,North,47.61795877,-122.35741674,30.0,1
ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST,Belltown,0.588,0.713,13.0,0,10,2,-0.5,0.0,-2.0,14,decrease,North,47.612398625,-122.34882895,240.0,2
ELLIOTT AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,0.577,0.745,9.0,0,11,1,-0.562,0.0,-2.0,11,decrease,North,47.61478184,-122.35269231,240.0,1
ELLIOTT AVE BETWEEN CLAY ST AND BROAD ST,Belltown,0.626,0.726,16.0,0,9,3,-0.354,0.0,-1.5,11,decrease,North,47.615302315,-122.353739605,240.0,2
ELLIOTT AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,0.528,0.7,12.0,0,11,1,-0.771,0.0,-2.0,14,decrease,South,47.611444655,-122.345828085,120.0,2
ELLIOTT AVE BETWEEN VINE ST AND CEDAR ST,Belltown,0.258,0.345,11.0,0,12,0,-1.958,-1.75,-2.0,19,decrease,North,47.614195755,-122.35186163,240.0,2
ELLIOTT AVE BETWEEN WALL ST AND VINE ST,Belltown,0.325,0.43,17.0,0,12,0,-1.604,-1.25,-2.0,13,decrease,North,47.61363912,-122.350925955,240.0,2
LENORA ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.62,0.821,12.0,0,6,6,-0.479,0.0,-2.0,17,decrease,South,47.61217011,-122.343481695,120.0,2
LENORA ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.302,0.408,4.0,0,12,0,-1.75,-1.25,-2.0,18,decrease,South,47.61278643,-122.34256616,120.0,1
LENORA ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.266,0.528,8.0,0,12,0,-1.562,-0.75,-2.0,13,decrease,South,47.61344824,-122.34170472,120.0,1
LENORA ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.134,0.395,9.0,0,12,0,-1.938,-1.5,-2.0,13,decrease,South,47.614163895,-122.34090275,120.0,2
LENORA ST BETWEEN 5TH AVE AND 6TH AVE,Belltown,0.194,0.492,16.0,0,12,0,-1.792,-1.0,-2.0,13,decrease,South,47.61482581,-122.340046675,120.0,2
LENORA ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.582,0.726,7.0,0,9,3,-0.479,0.0,-2.0,14,decrease,South,47.61146223,-122.34427892,120.0,1
STEWART ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.388,0.666,11.0,0,12,0,-1.438,-0.25,-2.0,12,decrease,South,47.612632245,-122.33829498,120.0,2
TAYLOR AVE BETWEEN 5TH AVE AND DENNY WAY,Belltown,0.329,0.461,3.0,0,12,0,-1.625,-1.0,-2.0,13,decrease,North,47.61842442,-122.34651487,240.0,1
VINE ST BETWEEN 1ST AVE AND 2ND AVE,Belltown,0.467,0.587,14.0,0,12,0,-1.021,-0.5,-2.0,11,decrease,North,47.61560733,-122.349219205,240.0,2
VINE ST BETWEEN 2ND AVE AND 3RD AVE,Belltown,0.161,0.269,9.0,0,12,0,-2.0,-2.0,-2.0,19,decrease,North,47.616251095,-122.34837665,240.0,2
VINE ST BETWEEN 3RD AVE AND 4TH AVE,Belltown,0.348,0.435,20.0,0,12,0,-1.562,-1.25,-2.0,16,decrease,North,47.616901925,-122.34753273,240.0,2
VINE ST BETWEEN 4TH AVE AND 5TH AVE,Belltown,0.484,0.696,12.0,0,12,0,-1.0,-0.25,-2.0,11,decrease,North,47.61758446,-122.346677665,240.0,2
VINE ST BETWEEN 5TH AVE AND DENNY WAY,Belltown,0.303,0.471,6.0,0,12,0,-1.729,-1.0,-2.0,11,decrease,North,47.61819148,-122.34572231,240.0,1
VINE ST BETWEEN ALASKAN WAY AND ELLIOTT AVE,Belltown,0.294,0.366,9.0,0,12,0,-1.771,-1.5,-2.0,19,decrease,North,47.613649415,-122.351758545,240.0,2
VINE ST BETWEEN ELLIOTT AVE AND WESTERN AVE,Belltown,0.229,0.288,7.0,0,12,0,-2.0,-2.0,-2.0,18,decrease,North,47.61431849,-122.35103705,240.0,1
VINE ST BETWEEN WESTERN AVE AND 1ST AVE,Belltown,0.356,0.477,11.0,0,12,0,-1.562,-1.0,-2.0,11,decrease,North,47.614934925,-122.35008845,240.0,2
