paidparkingarea,hour_of_day,avg_occupancy,occupied_space_hours,target_space_hours,unsold_space_hours,spaces,n_blockfaces,revenue_per_posted_dollar
Commercial Core,10,0.4422,3.3202686306503466,6.28612875655448,3.062478716666068,7.8576609456931,95,3.32
Commercial Core,11,0.5034,3.809522953334572,6.285709006074886,2.631895682926545,7.857136257593607,95,3.81
Commercial Core,12,0.5149,3.9012417878277046,6.285445084213444,2.5570879283870083,7.856806355266804,95,3.9
Commercial Core,13,0.509,3.8621549636994943,6.285511910444543,2.594770016957162,7.8568898880556794,95,3.86
Commercial Core,14,0.4677,3.5165362386655254,6.285219801370391,2.90659187452252,7.856524751712988,95,3.52
Commercial Core,15,0.4456,3.3261235005721925,6.376684580405127,3.1838866821917953,7.970855725506407,95,3.33
Commercial Core,16,0.4534,3.325839826920604,6.4037642052719335,3.217463305448007,8.004705256589917,95,3.33
Commercial Core,17,0.4433,3.212398506904698,6.446726487205051,3.3637554189008454,8.058408109006315,95,3.21
Commercial Core,18,0.4465,3.173108023617158,6.367664446827138,3.3274585646520043,7.959580558533922,95,3.17
Commercial Core,19,0.3983,2.8213169804057867,6.281984688140241,3.573666773547066,7.852480860175301,95,2.82
Denny Triangle,8,0.277,2.293812613539571,6.648076182908508,4.3822221106366515,8.310095228635635,61,2.29
Denny Triangle,9,0.3671,3.0752121436587383,6.8354895914517755,3.8319889019019664,8.54436198931472,61,3.08
Denny Triangle,10,0.4358,3.7061259492055583,6.834800474120901,3.2440748458405784,8.543500592651126,61,3.71
Denny Triangle,11,0.4705,4.018463210747378,6.8351702423004435,2.969625340496335,8.543962802875555,61,4.02
Denny Triangle,12,0.4506,3.8649042309871757,6.835084235113573,3.0894833108606203,8.543855293891967,61,3.86
Denny Triangle,13,0.4341,3.727057311897989,6.835209534881097,3.2184261690873117,8.54401191860137,61,3.73
Denny Triangle,14,0.4055,3.4486626106042024,6.8349696921809215,3.480493061278339,8.543712115226151,61,3.45
Denny Triangle,15,0.4011,3.4640848901227503,6.849903375342336,3.4963070220017873,8.56237921917792,61,3.46
Denny Triangle,16,0.3894,3.345196144118435,6.830270244219809,3.5832311186444126,8.537837805274762,61,3.35
Denny Triangle,17,0.3876,3.2995976594674383,6.831043797028748,3.6188061217339973,8.538804746285935,61,3.3
Denny Triangle,18,0.368,2.8440998122223924,6.422315057474247,3.62468553347488,8.027893821842808,61,2.84
Denny Triangle,19,0.3941,3.0199850538457955,6.463553462270769,3.504065245123829,8.07944182783846,61,3.02
First Hill,8,0.1066,0.9140317875323632,8.017974427670737,7.106095440993688,10.022468034588421,90,0.91
First Hill,9,0.1559,1.34520790766706,7.9810014179228626,6.64173846390773,9.976251772403577,90,1.35
First Hill,10,0.1624,1.42062299617806,7.980041487862426,6.564695656706159,9.975051859828032,90,1.42
First Hill,11,0.172,1.5282848644947784,7.980389516786923,6.457521058834411,9.975486895983652,90,1.53
First Hill,12,0.168,1.5082316898570602,7.9804525689664745,6.476218730038035,9.975565711208091,90,1.51
First Hill,13,0.1751,1.5731282700035956,7.979479221920498,6.411631825453741,9.974349027400622,90,1.57
First Hill,14,0.1787,1.5912317167360481,7.97656758103949,6.391686612983462,9.970709476299362,90,1.59
First Hill,15,0.1727,1.5203284647720738,7.9764419197113785,6.462757482813723,9.970552399639223,90,1.52
