blockfacename,paidparkingarea,paidparkingsubarea,lat,lon,spaces,time_limit,n_meters
7TH AVE BETWEEN BELL ST AND DEXTER AVE,Denny Triangle,North,47.61769659,-122.34172753,5,240.0,1
7TH AVE BETWEEN BLANCHARD ST AND BELL ST,Denny Triangle,North,47.616969815000004,-122.34072011,15,240.0,2
7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,First Hill,,47.60573702,-122.32786582,5,120.0,1
7TH AVE BETWEEN JAMES ST AND CHERRY ST,First Hill,,47.60499284,-122.327311345,14,120.0,2
7TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Denny Triangle,North,47.6162881,-122.33933279,13,120.0,1
7TH AVE BETWEEN MADISON ST AND SPRING ST,First Hill,,47.60788056,-122.32985799,6,120.0,1
7TH AVE BETWEEN MADISON ST OFF RP AND MADISON ST,First Hill,,47.60718833,-122.32922007,6,120.0,1
7TH AVE BETWEEN OLIVE WAY AND STEWART ST,Denny Triangle,South,47.61399229,-122.33560622,6,120.0,1
7TH AVE BETWEEN PINE ST AND OLIVE WAY,Commercial Core,Retail,47.61312767,-122.33463505,9,120.0,1
7TH AVE BETWEEN STEWART ST AND VIRGINIA ST,Denny Triangle,South,47.6146276,-122.33687047,2,120.0,1
7TH AVE BETWEEN WESTLAKE AVE AND LENORA ST,Denny Triangle,South,47.615585925000005,-122.3383484,10,120.0,2
7TH AVE S BETWEEN S JACKSON ST AND S KING ST,Chinatown/ID,,47.598746000000006,-122.323752005,10,120.0,2
7TH AVE S BETWEEN S KING ST AND S WELLER ST,Chinatown/ID,,47.597905775,-122.32375941000001,12,120.0,2
7TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,Chinatown/ID,,47.59958428,-122.32375254,12,120.0,2
